name_file,name_model,target,version,date_add,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,auc_roc,f1_score
logistic_regression_v1.0_bl_target_10P_7d,lr_pb_10P_7d,bl_target_10P_7d,v1.0,2024-08-04,66349,46556,10186,16720,0.594152105342212,0.26423920601807954,0.6214227309893704,0.6440695840917839,0.3708057040207581
random_forest_v1.0_bl_target_10P_7d,rf_pb_10P_7d,bl_target_10P_7d,v1.0,2024-08-04,80007,32898,7504,19402,0.7110241683415468,0.3709751434034417,0.7211030996803687,0.7882062099670207,0.4899123803752241
XGB_v1.0_bl_target_10P_7d,Xv_pb_10P_7d,bl_target_10P_7d,v1.0,2024-08-04,74248,38657,9047,17859,0.6587965181566543,0.3159990091301578,0.6637552962164573,0.7234230498494031,0.4281604372947185
logistic_regression_v1.0_bl_target_15P_7d,lr_pb_15P_7d,bl_target_15P_7d,v1.0,2024-08-04,82118,39573,7888,10232,0.6605345788242699,0.20544122076096777,0.5646799116997793,0.6627961842993826,0.3012734633787265
random_forest_v1.0_bl_target_15P_7d,rf_pb_15P_7d,bl_target_15P_7d,v1.0,2024-08-04,86198,35493,4880,13240,0.711231591219575,0.27168448484599755,0.7306843267108167,0.793325734744188,0.3960929202877955
XGB_v1.0_bl_target_15P_7d,Xv_pb_15P_7d,bl_target_15P_7d,v1.0,2024-08-04,80918,40773,5648,12472,0.6679731923811432,0.23423795661564467,0.6883002207505519,0.7424077876069529,0.3495270791003994
logistic_regression_v1.0_bl_target_20P_7d,lr_pb_20P_7d,bl_target_20P_7d,v1.0,2024-08-04,80965,46236,4675,7935,0.6358584088519501,0.14648058924516807,0.6292624900872323,0.6815211790444916,0.23764244320989503
random_forest_v1.0_bl_target_20P_7d,rf_pb_20P_7d,bl_target_20P_7d,v1.0,2024-08-04,91390,35811,3311,9299,0.7201793850269292,0.2061405453336289,0.737430610626487,0.8012299204052786,0.3222106722106722
XGB_v1.0_bl_target_20P_7d,Xv_pb_20P_7d,bl_target_20P_7d,v1.0,2024-08-04,86942,40259,3691,8919,0.6856470520917525,0.18136158444833056,0.7072957969865187,0.7626337370688729,0.2886968343367644
logistic_regression_v1.0_bl_target_25P_7d,lr_pb_25P_7d,bl_target_25P_7d,v1.0,2024-08-04,89502,41240,3619,5450,0.6791454177425238,0.11672735061040908,0.6009482853677363,0.6945996222222292,0.19548413708997653
random_forest_v1.0_bl_target_25P_7d,rf_pb_25P_7d,bl_target_25P_7d,v1.0,2024-08-04,95140,35602,2376,6693,0.7283618599394898,0.15824565551483627,0.7380086007277539,0.8081205094987339,0.2606105443501285
XGB_v1.0_bl_target_25P_7d,Xv_pb_25P_7d,bl_target_25P_7d,v1.0,2024-08-04,91296,39446,2594,6475,0.6993083519894715,0.1410030269375667,0.7139706693130444,0.7780235122500267,0.23549736315693762
logistic_regression_v1.0_bl_target_10P_15d,lr_pb_10P_15d,bl_target_10P_15d,v1.0,2024-08-04,63298,40856,11286,24371,0.627053665305305,0.3736336179802842,0.6834843088313655,0.6938226551965961,0.48314896316561595
random_forest_v1.0_bl_target_10P_15d,rf_pb_10P_15d,bl_target_10P_15d,v1.0,2024-08-04,78334,25820,8909,26748,0.7516003747916831,0.508826662608431,0.7501472361668116,0.8356144080421355,0.6063587418532163
XGB_v1.0_bl_target_10P_15d,Xv_pb_10P_15d,bl_target_10P_15d,v1.0,2024-08-04,73101,31053,10803,24854,0.7006244143879953,0.444559715241383,0.6970300361780296,0.7727055569909064,0.54287711327596
logistic_regression_v1.0_bl_target_15P_15d,lr_pb_15P_15d,bl_target_15P_15d,v1.0,2024-08-04,77489,34755,10309,17258,0.6776791525702556,0.33180166496837327,0.626038379221533,0.7059528239104453,0.43372706710228703
