name_file,name_model,target,version,date_add,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,auc_roc,f1_score
logistic_regression_v2.2.20_bl_target_10P_7d,lr_pb_10P_7d,bl_target_10P_7d,v2.2.20,2024-09-30,3289,3465,338,1157,0.5389744211419566,0.25032453483340544,0.7739130434782608,0.6925347842923256,0.37829001144351804
random_forest_v2.2.20_bl_target_10P_7d,rf_pb_10P_7d,bl_target_10P_7d,v2.2.20,2024-09-30,5697,1057,143,1352,0.8545278215541278,0.5612287256122872,0.9043478260869565,0.9423306193876935,0.6926229508196722
XGB_v2.2.20_bl_target_10P_7d,Xv_pb_10P_7d,bl_target_10P_7d,v2.2.20,2024-09-30,5843,911,108,1387,0.8764698751363802,0.603568320278503,0.9277591973244147,0.9606864952071014,0.7313472185605062
logistic_regression_v2.2.20_bl_target_15P_7d,lr_pb_15P_7d,bl_target_15P_7d,v2.2.20,2024-09-30,5331,2008,403,507,0.7077221481391683,0.20159045725646124,0.5571428571428572,0.7082927428206076,0.29605839416058394
random_forest_v2.2.20_bl_target_15P_7d,rf_pb_15P_7d,bl_target_15P_7d,v2.2.20,2024-09-30,6271,1068,105,805,0.8578009455691599,0.42979177789642287,0.8846153846153846,0.9423157779677742,0.578512396694215
XGB_v2.2.20_bl_target_15P_7d,Xv_pb_15P_7d,bl_target_15P_7d,v2.2.20,2024-09-30,6384,955,70,840,0.8757425142441508,0.467966573816156,0.9230769230769231,0.9602577828221648,0.6210720887245841
logistic_regression_v2.2.20_bl_target_20P_7d,lr_pb_20P_7d,bl_target_20P_7d,v2.2.20,2024-09-30,3896,3803,94,456,0.5275791004970299,0.10706738671049543,0.8290909090909091,0.7315247552810872,0.18964441671865254
random_forest_v2.2.20_bl_target_20P_7d,rf_pb_20P_7d,bl_target_20P_7d,v2.2.20,2024-09-30,6632,1067,44,506,0.8653170081221966,0.32167832167832167,0.92,0.9567378289978627,0.4766839378238342
XGB_v2.2.20_bl_target_20P_7d,Xv_pb_20P_7d,bl_target_20P_7d,v2.2.20,2024-09-30,6667,1032,28,522,0.8714995757061462,0.3359073359073359,0.9490909090909091,0.9679245238460721,0.4961977186311786
logistic_regression_v2.2.20_bl_target_25P_7d,lr_pb_25P_7d,bl_target_25P_7d,v2.2.20,2024-09-30,2828,5067,23,331,0.38295550975875864,0.06131900703964431,0.9350282485875706,0.7636725668466419,0.1150904033379694
random_forest_v2.2.20_bl_target_25P_7d,rf_pb_25P_7d,bl_target_25P_7d,v2.2.20,2024-09-30,6897,998,29,325,0.8755000606134077,0.2456538170823885,0.9180790960451978,0.9598998865762854,0.3875968992248062
XGB_v2.2.20_bl_target_25P_7d,Xv_pb_25P_7d,bl_target_25P_7d,v2.2.20,2024-09-30,6930,965,19,335,0.8807128136743848,0.25769230769230766,0.9463276836158192,0.9689558935606102,0.4050785973397823
logistic_regression_v2.2.20_bl_target_10P_15d,lr_pb_10P_15d,bl_target_10P_15d,v2.2.20,2024-09-30,2614,3396,346,1893,0.5463692568796218,0.3579126488939308,0.8454667262170612,0.7120241015606712,0.502922422954304
random_forest_v2.2.20_bl_target_10P_15d,rf_pb_10P_15d,bl_target_10P_15d,v2.2.20,2024-09-30,5330,680,207,2032,0.8924718147654261,0.7492625368731564,0.9075480125055828,0.9605451387779338,0.8208442738840638
XGB_v2.2.20_bl_target_10P_15d,Xv_pb_10P_15d,bl_target_10P_15d,v2.2.20,2024-09-30,5317,693,203,2036,0.8913807734270821,0.7460608281421767,0.9093345243412237,0.9645880135757066,0.8196457326892109
logistic_regression_v2.2.20_bl_target_15P_15d,lr_pb_15P_15d,bl_target_15P_15d,v2.2.20,2024-09-30,2710,3890,245,1404,0.4987271184385986,0.2652058934642992,0.8514251061249242,0.7189141261002996,0.40443612271352436
random_forest_v2.2.20_bl_target_15P_15d,rf_pb_15P_15d,bl_target_15P_15d,v2.2.20,2024-09-30,5790,810,131,1518,0.8859255667353618,0.6520618556701031,0.9205579138872043,0.9616470496352243,0.7633894895649987
XGB_v2.2.20_bl_target_15P_15d,Xv_pb_15P_15d,bl_target_15P_15d,v2.2.20,2024-09-30,5836,764,149,1500,0.8893199175657656,0.6625441696113075,0.9096422073984233,0.9618957311134388,0.7666751852798364
logistic_regression_v2.2.20_bl_target_20P_15d,lr_pb_20P_15d,bl_target_20P_15d,v2.2.20,2024-09-30,5141,1903,470,735,0.7123287671232876,0.27862016679302504,0.6099585062240664,0.7361815829840173,0.38251366120218583
random_forest_v2.2.20_bl_target_20P_15d,rf_pb_20P_15d,bl_target_20P_15d,v2.2.20,2024-09-30,6228,816,100,1105,0.8889562371196509,0.5752212389380531,0.91701244813278,0.9655477955989736,0.7069737683941137
XGB_v2.2.20_bl_target_20P_15d,Xv_pb_20P_15d,bl_target_20P_15d,v2.2.20,2024-09-30,6225,819,89,1116,0.8899260516426234,0.5767441860465117,0.9261410788381743,0.9664065353286161,0.7108280254777071
logistic_regression_v2.2.20_bl_target_25P_15d,lr_pb_25P_15d,bl_target_25P_15d,v2.2.20,2024-09-30,5608,1764,368,509,0.7415444296278336,0.22393312802463705,0.580387685290764,0.7492295727740514,0.32317460317460317
random_forest_v2.2.20_bl_target_25P_15d,rf_pb_25P_15d,bl_target_25P_15d,v2.2.20,2024-09-30,6455,917,59,818,0.8816826281973572,0.47146974063400576,0.9327251995438997,0.9653669683619056,0.6263399693721287
XGB_v2.2.20_bl_target_25P_15d,Xv_pb_25P_15d,bl_target_25P_15d,v2.2.20,2024-09-30,6517,855,49,828,0.8904109589041096,0.4919786096256685,0.9441277080957811,0.9686183537697882,0.6468750000000001
logistic_regression_v2.2.20_bl_target_10P_30d,lr_pb_10P_30d,bl_target_10P_30d,v2.2.20,2024-09-30,3219,2172,629,2229,0.66044369014426,0.5064758009543285,0.7799160251924423,0.7554073418115541,0.6141341782614685
random_forest_v2.2.20_bl_target_10P_30d,rf_pb_10P_30d,bl_target_10P_30d,v2.2.20,2024-09-30,5015,376,186,2672,0.9318705297611831,0.8766404199475065,0.9349195241427571,0.9801364636055298,0.9048425330172706
XGB_v2.2.20_bl_target_10P_30d,Xv_pb_10P_30d,bl_target_10P_30d,v2.2.20,2024-09-30,4994,397,185,2673,0.929445993453752,0.8706840390879479,0.9352694191742478,0.9792237574507652,0.9018218623481782
logistic_regression_v2.2.20_bl_target_15P_30d,lr_pb_15P_30d,bl_target_15P_30d,v2.2.20,2024-09-30,3235,2656,415,1943,0.6277124499939386,0.42248314851054575,0.8240033927056828,0.7690312373973955,0.5585740980307604
random_forest_v2.2.20_bl_target_15P_30d,rf_pb_15P_30d,bl_target_15P_30d,v2.2.20,2024-09-30,5422,469,128,2230,0.9276275912231786,0.8262319377547239,0.9457167090754877,0.9809718221424005,0.8819458176784654
XGB_v2.2.20_bl_target_15P_30d,Xv_pb_15P_30d,bl_target_15P_30d,v2.2.20,2024-09-30,5395,496,142,2216,0.9226572917929446,0.8171091445427728,0.9397794741306191,0.9783464490405211,0.8741617357001972
logistic_regression_v2.2.20_bl_target_20P_30d,lr_pb_20P_30d,bl_target_20P_30d,v2.2.20,2024-09-30,4502,1800,619,1328,0.7067523336161959,0.42455242966751916,0.6820749871597329,0.7713756828242948,0.5233497536945813
random_forest_v2.2.20_bl_target_20P_30d,rf_pb_20P_30d,bl_target_20P_30d,v2.2.20,2024-09-30,5787,515,99,1848,0.9255667353618621,0.7820567075751164,0.9491525423728814,0.9825258675758114,0.8575406032482599
XGB_v2.2.20_bl_target_20P_30d,Xv_pb_20P_30d,bl_target_20P_30d,v2.2.20,2024-09-30,5763,539,120,1827,0.9201115286701418,0.772189349112426,0.938366718027735,0.9804108298667467,0.8472061210294459
logistic_regression_v2.2.20_bl_target_25P_30d,lr_pb_25P_30d,bl_target_25P_30d,v2.2.20,2024-09-30,4130,2522,310,1287,0.6566856588677416,0.3378839590443686,0.8058860363180964,0.7909217749305203,0.4761376248612652
random_forest_v2.2.20_bl_target_25P_30d,rf_pb_25P_30d,bl_target_25P_30d,v2.2.20,2024-09-30,6124,528,72,1525,0.9272639107770639,0.7428153921091086,0.954915466499687,0.9811274220944186,0.8356164383561644
XGB_v2.2.20_bl_target_25P_30d,Xv_pb_25P_30d,bl_target_25P_30d,v2.2.20,2024-09-30,6049,603,78,1519,0.9174445387319675,0.7158341187558906,0.9511584220413275,0.9796153133637898,0.8168862597472439
logistic_regression_v2.2.20_bl_target_10N_7d,lr_pb_10N_7d,bl_target_10N_7d,v2.2.20,2024-09-30,3412,3693,168,976,0.5319432658504061,0.2090383379738702,0.8531468531468531,0.7495160012401393,0.3357990710476518
random_forest_v2.2.20_bl_target_10N_7d,rf_pb_10N_7d,bl_target_10N_7d,v2.2.20,2024-09-30,6012,1093,111,1033,0.8540429142926416,0.4858889934148636,0.902972027972028,0.9467619818605041,0.6318042813455658
XGB_v2.2.20_bl_target_10N_7d,Xv_pb_10N_7d,bl_target_10N_7d,v2.2.20,2024-09-30,6112,993,84,1060,0.8694387198448297,0.5163175840233805,0.9265734265734266,0.9606565847945159,0.6631216765717861
logistic_regression_v2.2.20_bl_target_15N_7d,lr_pb_15N_7d,bl_target_15N_7d,v2.2.20,2024-09-30,5079,2590,144,436,0.6685658867741544,0.1440846001321877,0.7517241379310344,0.7835868543756549,0.2418191902384914
random_forest_v2.2.20_bl_target_15N_7d,rf_pb_15N_7d,bl_target_15N_7d,v2.2.20,2024-09-30,6653,1016,47,533,0.8711358952600315,0.34409296320206584,0.9189655172413793,0.9555411171712357,0.5007045561296384
XGB_v2.2.20_bl_target_15N_7d,Xv_pb_15N_7d,bl_target_15N_7d,v2.2.20,2024-09-30,6648,1021,39,541,0.8714995757061462,0.34635083226632524,0.9327586206896552,0.9603321253051921,0.5051353874883288
logistic_regression_v2.2.20_bl_target_20N_7d,lr_pb_20N_7d,bl_target_20N_7d,v2.2.20,2024-09-30,4938,3017,51,243,0.6280761304400534,0.0745398773006135,0.826530612244898,0.7851511692043253,0.13674732695554306
random_forest_v2.2.20_bl_target_20N_7d,rf_pb_20N_7d,bl_target_20N_7d,v2.2.20,2024-09-30,6892,1063,28,266,0.8677415444296278,0.200150489089541,0.9047619047619048,0.9584741124608234,0.32778804682686385
XGB_v2.2.20_bl_target_20N_7d,Xv_pb_20N_7d,bl_target_20N_7d,v2.2.20,2024-09-30,6867,1088,17,277,0.8660443690144259,0.20293040293040293,0.9421768707482994,0.9638874280070293,0.33393610608800484
logistic_regression_v2.2.20_bl_target_25N_7d,lr_pb_25N_7d,bl_target_25N_7d,v2.2.20,2024-09-30,4938,3155,18,138,0.6153473148260395,0.04190707561494078,0.8846153846153846,0.8142989985013956,0.0800231951290229
random_forest_v2.2.20_bl_target_25N_7d,rf_pb_25N_7d,bl_target_25N_7d,v2.2.20,2024-09-30,7214,879,11,145,0.8921081343193115,0.1416015625,0.9294871794871795,0.9718623565157606,0.24576271186440676
XGB_v2.2.20_bl_target_25N_7d,Xv_pb_25N_7d,bl_target_25N_7d,v2.2.20,2024-09-30,7118,975,10,146,0.8805915868590132,0.1302408563782337,0.9358974358974359,0.9712983996933089,0.22866092404072041
logistic_regression_v2.2.20_bl_target_10N_15d,lr_pb_10N_15d,bl_target_10N_15d,v2.2.20,2024-09-30,4471,1904,574,1300,0.6995999515092739,0.40574282147315854,0.6937033084311632,0.7587676983279972,0.5120126033871603
random_forest_v2.2.20_bl_target_10N_15d,rf_pb_10N_15d,bl_target_10N_15d,v2.2.20,2024-09-30,5615,760,150,1724,0.8896835980118802,0.6940418679549114,0.919957310565635,0.961701173959445,0.7911886186324001
XGB_v2.2.20_bl_target_10N_15d,Xv_pb_10N_15d,bl_target_10N_15d,v2.2.20,2024-09-30,5582,793,148,1726,0.8859255667353618,0.685192536720921,0.9210245464247598,0.9623148136522486,0.7857955838834509
logistic_regression_v2.2.20_bl_target_15N_15d,lr_pb_15N_15d,bl_target_15N_15d,v2.2.20,2024-09-30,4462,2623,232,932,0.6538974421141956,0.2621659634317862,0.8006872852233677,0.788326094284668,0.39499894045348594
random_forest_v2.2.20_bl_target_15N_15d,rf_pb_15N_15d,bl_target_15N_15d,v2.2.20,2024-09-30,6204,881,82,1082,0.8832585767971876,0.5511971472236373,0.929553264604811,0.9649543345774312,0.6920370962583947
XGB_v2.2.20_bl_target_15N_15d,Xv_pb_15N_15d,bl_target_15N_15d,v2.2.20,2024-09-30,6093,992,76,1088,0.8705297611831737,0.5230769230769231,0.9347079037800687,0.9632018663892303,0.6707768187422934
logistic_regression_v2.2.20_bl_target_20N_15d,lr_pb_20N_15d,bl_target_20N_15d,v2.2.20,2024-09-30,4168,3388,62,631,0.5817674869681173,0.1570042299079373,0.9105339105339105,0.8269213728451419,0.2678268251273345
random_forest_v2.2.20_bl_target_20N_15d,rf_pb_20N_15d,bl_target_20N_15d,v2.2.20,2024-09-30,6644,912,41,652,0.8844708449509031,0.41687979539641945,0.9408369408369408,0.9682273273459087,0.5777580859548073
XGB_v2.2.20_bl_target_20N_15d,Xv_pb_20N_15d,bl_target_20N_15d,v2.2.20,2024-09-30,6521,1035,38,655,0.8699236271063159,0.3875739644970414,0.9451659451659452,0.9658197149594715,0.5497272345782627
logistic_regression_v2.2.20_bl_target_25N_15d,lr_pb_25N_15d,bl_target_25N_15d,v2.2.20,2024-09-30,5509,2345,66,329,0.7077221481391683,0.12303664921465969,0.8329113924050633,0.8393423652545023,0.2144020853698273
random_forest_v2.2.20_bl_target_25N_15d,rf_pb_25N_15d,bl_target_25N_15d,v2.2.20,2024-09-30,6933,921,27,368,0.885076979027761,0.28549262994569435,0.9316455696202531,0.9662081403332334,0.4370546318289786
XGB_v2.2.20_bl_target_25N_15d,Xv_pb_25N_15d,bl_target_25N_15d,v2.2.20,2024-09-30,6862,992,20,375,0.8773184628439811,0.274323335771763,0.9493670886075949,0.9660369786579764,0.4256526674233826
logistic_regression_v2.2.20_bl_target_10N_30d,lr_pb_10N_30d,bl_target_10N_30d,v2.2.20,2024-09-30,3789,1901,696,1863,0.6851739604800582,0.494952178533475,0.7280187573270809,0.7714474774925123,0.5892772418155939
random_forest_v2.2.20_bl_target_10N_30d,rf_pb_10N_30d,bl_target_10N_30d,v2.2.20,2024-09-30,5173,517,156,2403,0.91841435325494,0.822945205479452,0.9390386869871044,0.9775591643539361,0.8771673663077203
XGB_v2.2.20_bl_target_10N_30d,Xv_pb_10N_30d,bl_target_10N_30d,v2.2.20,2024-09-30,5119,571,144,2415,0.9133228270093344,0.8087742799732083,0.943728018757327,0.9740809685791421,0.8710550045085663
logistic_regression_v2.2.20_bl_target_15N_30d,lr_pb_15N_30d,bl_target_15N_30d,v2.2.20,2024-09-30,4615,1757,500,1377,0.7263910777063887,0.43937460114869176,0.7336174746936601,0.8008589122429275,0.5495909000199561
random_forest_v2.2.20_bl_target_15N_30d,rf_pb_15N_30d,bl_target_15N_30d,v2.2.20,2024-09-30,5755,617,106,1771,0.912353012486362,0.7416247906197655,0.943526904635056,0.9760182150130047,0.8304806565064478
