,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
482,OM-USD,15.722397179977502,2021-12-31,2024-08-06,949,100.0,1672.2397179977502,1572.2397179977502,580.1733605158664,100.0,0.0,36.51763868905504,58.0,1,0,1,1572.2397179977502,,,,,,,,,,,,,
262,GHX-USD,5.097131364550297,2021-12-31,2024-08-06,949,100.0,609.7131364550297,509.71313645502966,-14.933718930551176,100.0,0.0,81.44500315546453,142.0,1,0,1,509.7131364550297,,,,,,,,,,,,,
721,WEST-USD,3.4745026727107544,2021-12-31,2024-08-06,949,100.0,447.45026727107546,347.45026727107546,-83.46623270760745,100.0,0.0,68.15912199184136,64.0,1,0,1,347.45026727107546,,,,,,,,,,,,,
236,FLOKI-USD,3.149845834378045,2021-12-31,2024-08-06,943,100.0,414.9845834378045,314.9845834378045,8.419397204657031,100.0,0.0,65.62499886314353,85.0,1,0,1,314.9845834378045,,,,,,,,,,,,,
511,PEOPLE-USD,3.065212543337084,2021-12-31,2024-08-06,949,100.0,406.5212543337084,306.5212543337084,-56.53396897386583,100.0,0.0,65.54555264444186,78.0,1,0,1,306.5212543337084,,,,,,,,,,,,,
335,JASMY-USD,2.7675285883779743,2021-12-31,2024-08-06,949,100.0,376.7528588377974,276.7528588377974,-75.63526938995683,100.0,0.0,53.166327624457175,83.0,1,0,1,276.7528588377974,,,,,,,,,,,,,
265,GLQ-USD,2.2764016367347684,2021-12-31,2024-08-06,949,100.0,327.6401636734768,227.64016367347685,93.50082532692959,100.0,0.0,79.7625708574423,139.0,1,0,1,227.64016367347682,,,,,,,,,,,,,
597,SKEY-USD,1.9317083480666712,2021-12-31,2024-08-06,949,100.0,293.17083480666713,193.17083480666713,-58.937860663665276,100.0,0.0,76.8058188570245,130.0,1,0,1,193.17083480666713,,,,,,,,,,,,,
20,AIOZ-USD,1.833751822645312,2021-12-31,2024-08-06,949,100.0,283.3751822645312,183.3751822645312,-3.3212053082331328,100.0,0.0,61.24263273964987,134.0,1,0,1,183.3751822645312,,,,,,,,,,,,,
141,CREDI-USD,1.6014838575447197,2021-12-31,2024-08-06,949,100.0,260.148385754472,160.14838575447197,-57.89318035488825,100.0,0.0,70.20255197295405,122.0,1,0,1,160.14838575447197,,,,,,,,,,,,,
