,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
0,1CAT-USD,0.0,2023-12-20,2024-08-06,230,100.0,100.0,0.0,-62.238435469106044,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
517,PIX-USD,0.0,2022-09-22,2024-08-06,684,100.0,100.0,0.0,-91.52681093148641,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
519,PLU-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-61.082847628837285,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
520,PMG-USD,0.0,2022-07-26,2024-08-06,742,100.0,100.0,0.0,-99.73458035697203,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
521,POKT-USD,0.0,2022-01-12,2024-08-06,937,100.0,100.0,0.0,-98.59289000851562,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
522,POL-USD,0.0,2021-12-31,2023-10-30,669 days 00:00:00,100.0,100.0,0.0,-94.64177738312887,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
523,POLC-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-99.14051202144947,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
524,POLK-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-96.5170943559217,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
525,POLS-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-92.10737217103544,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
526,POLX-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-97.92715204838512,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
527,POLYX-USD,0.0,2022-05-29,2024-08-06,800,100.0,100.0,0.0,-14.981985847817258,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
528,POND-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-82.4439226108266,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
529,PORTAL-USD,0.0,2021-12-31,2022-11-30,335 days 00:00:00,100.0,100.0,0.0,-25.000001624086366,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
530,PRCL-USD,0.0,2024-04-15,2024-08-06,113,100.0,100.0,0.0,-75.18925486763793,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
531,PRE-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-97.62461174869402,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
532,PROM-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-59.18510943080124,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
533,PRQ-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-86.9107577925968,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
534,PSL-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-96.33805523706684,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
535,PSTAKE-USD,0.0,2022-02-23,2024-08-06,895,100.0,100.0,0.0,-90.57519605292624,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
536,PUMLX-USD,0.0,2022-10-06,2024-08-06,670,100.0,100.0,0.0,-92.81565032817899,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
537,PUNDIX-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-64.84956946710737,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
538,PUSH-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-97.00660341671869,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
539,PYR-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-84.16798153321862,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
518,PIXEL-USD,0.0,2021-12-31,2024-06-24,907 days 00:00:00,100.0,100.0,0.0,-98.17146757234482,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
516,PIT-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,0.0,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
590,SHILL-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-99.46641310947793,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
515,PIP-USD,0.0,2022-12-07,2024-08-06,608,100.0,100.0,0.0,-96.77239064878542,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
494,ORBS-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-69.2281822259648,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
495,ORCA-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-51.97971445540539,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
496,ORDI-USD,0.0,2023-05-07,2024-08-06,454,100.0,100.0,0.0,51.2748701289224,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
497,ORN-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-82.40144443470207,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
498,OSMO-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-94.81981365794869,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
499,OTK-USD,0.0,2023-04-12,2024-08-06,482,100.0,100.0,0.0,11.406844798677419,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
500,OUSD-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,0.0006332923962792947,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
501,OVR-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-94.16703797724448,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
502,OXT-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-83.2500351652276,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
503,PANDORA-USD,0.0,2024-02-04,2024-08-06,184,100.0,100.0,0.0,-61.65741369454791,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
504,PATEX-USD,0.0,2024-03-11,2024-08-06,148,100.0,100.0,0.0,-78.76420681728274,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
505,PAXG-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,29.55671811931837,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
506,PBR-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-96.1658564550959,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
507,PBUX-USD,0.0,2024-04-22,2024-08-06,106,100.0,100.0,0.0,-90.27927388355205,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
508,PBX-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-97.37460843077896,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
509,PEL-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-98.4893778054238,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
510,PENDLE-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,905.4206321834146,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
511,PEOPLE-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-56.53396897386583,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
512,PEPE-USD,0.0,2022-08-14,2022-12-10,119 days 00:00:00,100.0,100.0,0.0,-97.76951674119269,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
513,PERP-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-94.75362957377436,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
514,PHA-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-77.47404427175091,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
540,PYTH-USD,0.0,2023-11-19,2024-08-06,261,100.0,100.0,0.0,-5.2492894774336385,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
541,PYUSD-USD,0.0,2023-08-19,2024-08-06,350,100.0,100.0,0.0,-99.9912985494789,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
542,PZP-USD,0.0,2023-04-18,2024-08-06,476,100.0,100.0,0.0,-38.64439647029222,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
543,QI-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-96.37818800176798,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
568,RPK-USD,0.0,2023-11-13,2024-08-06,267,100.0,100.0,0.0,-95.11511673251455,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
569,RPL-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-72.56735962734754,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
570,RSR-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-88.15362654438294,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
571,RUNE-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-57.71074266148739,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
572,RVN-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-85.76148533132553,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
573,SAFE-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-91.13890180165272,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
574,SAND-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-95.89580058666175,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
575,SAROS-USD,0.0,2024-01-18,2024-08-06,201,100.0,100.0,0.0,-92.79460871124775,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
576,SATS-USD,0.0,2021-12-31,2023-08-31,609 days 00:00:00,100.0,100.0,0.0,-45.1882874740077,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
577,SAVM-USD,0.0,2024-01-18,2024-08-06,201,100.0,100.0,0.0,-90.51049218861733,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
578,SCA-USD,0.0,2021-12-31,2024-08-06,738,100.0,100.0,0.0,-89.92881559198435,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
579,SCLP-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-94.37381753242052,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
580,SCPT-USD,0.0,2023-12-20,2024-08-06,230,100.0,100.0,0.0,-58.25418381085399,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
581,SCRT-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-96.72363837657802,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
582,SD-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,28544.914489300907,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
583,SDAO-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-81.15767031718273,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
584,SEAM-USD,0.0,2023-12-10,2024-08-06,240,100.0,100.0,0.0,-83.62231075908205,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
585,SEI-USD,0.0,2023-08-14,2024-08-06,355,100.0,100.0,0.0,36.93466131100165,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
586,SENSO-USD,0.0,2021-12-31,2024-08-06,949,100.0,100.0,0.0,-98.30897810155051,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,,,,
