,Date,Symbol,model,Cumulative_Return_7d,Cumulative_Return_15d,Cumulative_Return_30d,number_entries,first_entry,last_entry
0,2024-07-10,1CAT-USD,Xv_pb_10N_15d,0.7190147030582104,7.515285290231075,-0.5720486992324569,5,2024-07-06,2024-07-10
1,2024-04-11,1INCH-USD,Xv_pb_10P_30d,-0.4572998741526334,13.067025117127459,87.74007495437347,57,2024-01-01,2024-04-11
2,2024-06-17,1INCH-USD,Xv_pb_20N_30d,-0.9574627185128323,-0.9948934854319209,-0.9101151285244712,53,2024-01-01,2024-06-17
3,2024-02-11,1INCH-USD,lr_pb_10N_30d,0.1448843660767294,0.18221843298427376,2.158303905509529,5,2024-01-06,2024-02-11
4,2024-07-10,1INCH-USD,Xv_pb_10N_15d,3.7028415496516267,-0.19425204079250935,-0.9967787392744822,95,2024-01-21,2024-07-10
5,2024-05-08,AA-USD,Xv_pb_10P_30d,-0.9805804098755326,-0.9982527993581182,-0.999991745588007,57,2024-01-01,2024-05-08
6,2024-06-17,AA-USD,Xv_pb_20N_30d,-0.7506046701299401,0.7054416267396677,-0.998857679843089,46,2024-01-02,2024-06-17
7,2024-06-06,AA-USD,lr_pb_10N_30d,-0.6393814869517829,-0.9628958567815531,-0.9999703985456819,78,2024-01-01,2024-06-06
8,2024-07-10,AA-USD,Xv_pb_10N_15d,2.0927830443629047,7.23353605638043,-0.8200500174677532,77,2024-01-21,2024-07-10
9,2024-07-10,AAVE-USD,Xv_pb_10N_30d,9.789884174873432,11.196829194360863,2.68348890679126,23,2024-05-11,2024-07-10
10,2024-06-08,AAVE-USD,Xv_pb_15N_30d,-0.13744871482436016,-0.8004140126116132,-0.8706713799542669,8,2024-03-23,2024-06-08
11,2024-06-06,AAVE-USD,Xv_pb_10P_30d,-0.9402561535788994,-0.8047392375572844,4.583942066722937,88,2024-01-01,2024-06-06
12,2024-07-10,AAVE-USD,Xv_pb_20N_30d,-0.8805310130043694,-0.9387969316947001,-0.22855784621215247,151,2024-01-01,2024-07-10
