,Symbol,Date,Close,lr_pb_10N_15d,lr_pb_10N_30d,lr_pb_10N_7d,lr_pb_10P_15d,lr_pb_10P_30d,lr_pb_10P_7d,lr_pb_15N_15d,lr_pb_15N_30d,lr_pb_15N_7d,lr_pb_15P_15d,lr_pb_15P_30d,lr_pb_15P_7d,lr_pb_20N_15d,lr_pb_20N_30d,lr_pb_20N_7d,lr_pb_20P_15d,lr_pb_20P_30d,lr_pb_20P_7d,lr_pb_25N_15d,lr_pb_25N_30d,lr_pb_25N_7d,lr_pb_25P_15d,lr_pb_25P_30d,lr_pb_25P_7d,rf_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_7d,rf_pb_10P_15d,rf_pb_10P_30d,rf_pb_10P_7d,rf_pb_15N_15d,rf_pb_15N_30d,rf_pb_15N_7d,rf_pb_15P_15d,rf_pb_15P_30d,rf_pb_15P_7d,rf_pb_20N_15d,rf_pb_20N_30d,rf_pb_20N_7d,rf_pb_20P_15d,rf_pb_20P_30d,rf_pb_20P_7d,rf_pb_25N_15d,rf_pb_25N_30d,rf_pb_25N_7d,rf_pb_25P_15d,rf_pb_25P_30d,rf_pb_25P_7d,Xv_pb_10N_15d,Xv_pb_10N_30d,Xv_pb_10N_7d,Xv_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_10P_7d,Xv_pb_15N_15d,Xv_pb_15N_30d,Xv_pb_15N_7d,Xv_pb_15P_15d,Xv_pb_15P_30d,Xv_pb_15P_7d,Xv_pb_20N_15d,Xv_pb_20N_30d,Xv_pb_20N_7d,Xv_pb_20P_15d,Xv_pb_20P_30d,Xv_pb_20P_7d,Xv_pb_25N_15d,Xv_pb_25N_30d,Xv_pb_25N_7d,Xv_pb_25P_15d,Xv_pb_25P_30d,Xv_pb_25P_7d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
1137,SOL-USD,2024-06-01,163.24990844726562,0.8080243003526673,0.7309215787620166,0.6310328421561808,0.6232584097374215,0.5761968445113836,0.6865177182423957,0.7443632361161207,0.84760267475534,0.8137126832047868,0.3552333426013976,0.49802459388515846,0.3797271081515978,0.6353185117555881,0.2292513808450762,0.8532253731971013,0.5170075582369793,0.3208767058932067,0.3665852769797969,0.5593476498013945,0.8065036373575792,0.8505217590950405,0.38400315365839865,0.5290176110659159,0.3698703213883559,0.39,0.23,0.38,0.57,0.69,0.6,0.29,0.17,0.49,0.69,0.68,0.64,0.39,0.28,0.53,0.75,0.59,0.73,0.49,0.54,0.66,0.73,0.69,0.69,0.36134624,0.19659975,0.53919053,0.32178482,0.4277986,0.99565744,0.8295452,0.016939955,0.8606994,0.94481647,0.9211764,0.8809348,0.6210122,0.8115462,0.88220644,0.92596054,0.6319002,0.9916857,0.96919125,0.86635,0.97647846,0.9107808,0.5242931,0.6752976,0.6155281478819613,0.6650146322989652,0.7161061836685434,0.38622648402707155,0.5384477973067908,0.6125745704163941
737,ETH-USD,2024-06-01,3780.89599609375,0.5780842143256241,0.3786703734678835,0.23292723087611708,0.4648431548073448,0.8405390984493711,0.7001016100846544,0.5198096770518192,0.3925571470630735,0.5529240848474124,0.3147454056546031,0.773726229430274,0.5197759159642965,0.8350307454225355,0.47510916943246906,0.18277278193824417,0.38650279485720257,0.8523343879388385,0.3894452345882051,0.6888358351181606,0.6518208855824084,0.45669384519028183,0.5472319051748022,0.8253274343286605,0.2374411457052268,0.41,0.25,0.39,0.59,0.67,0.6,0.27,0.18,0.45,0.72,0.67,0.6,0.36,0.25,0.49,0.77,0.59,0.71,0.5,0.56,0.57,0.76,0.72,0.66,0.27333564,0.12774181,0.43638048,0.37865558,0.4114747,0.99506146,0.7489154,0.014590289,0.79816556,0.9514955,0.9428895,0.83670217,0.65127516,0.79516417,0.7543533,0.92108333,0.75142413,0.9916857,0.9884015,0.8264723,0.97440207,0.93388987,0.5773468,0.71778977,0.6944801838053863,0.6723311733318167,0.7123243465872715,0.3395260915034778,0.5003895821817916,0.48724112487274085
337,BTC-USD,2024-06-01,67751.6015625,0.5819560508729892,0.6719338343075013,0.44881343882345787,0.25294855811082334,0.2856906329061673,0.10446095175446213,0.4915688554141369,0.5256774170832581,0.3382054807628389,0.15056282636981513,0.350277873938824,0.09726893281451772,0.2588230777297693,0.49550492317753575,0.25864952138313335,0.24171385264770104,0.13050354771573058,0.01307752490109933,0.24223526306698068,0.2278402235740403,0.01647469170342659,0.038657424695697884,0.5625659327567457,0.031126170376500183,0.36,0.22,0.35,0.69,0.69,0.64,0.27,0.16,0.48,0.75,0.74,0.67,0.3,0.28,0.5,0.79,0.6,0.75,0.46,0.5,0.59,0.72,0.79,0.66,0.19800413,0.05876121,0.22151099,0.80940855,0.42706844,0.9925028,0.907117,0.019562857,0.92566115,0.95296794,0.9532999,0.88833547,0.6186331,0.91723245,0.74034524,0.95111567,0.91524726,0.9967456,0.8619227,0.8411274,0.898802,0.95297235,0.8462439,0.79984033,0.6629253558632473,0.6975067971281228,0.6389908437486044,0.3468454071063101,0.4525163493565735,0.45849711359328404
1138,SOL-USD,2024-06-02,164.9234619140625,0.8230033293855231,0.6914155059379504,0.6296699724336388,0.6936500902832955,0.5585690632926746,0.6810443410098407,0.7761584292285469,0.8550007643709594,0.8178424719551725,0.463487770138087,0.4918889380502584,0.44426608830983993,0.704236819458948,0.23439652903818095,0.885193028762106,0.5359504655494082,0.31968052192059626,0.3769425300748146,0.6973530911716018,0.7089429515129085,0.8070849707941734,0.40227457746540785,0.5853442235338165,0.5459637937253703,0.39,0.24,0.37,0.59,0.68,0.58,0.28,0.19,0.51,0.72,0.65,0.63,0.39,0.29,0.53,0.77,0.59,0.71,0.5,0.55,0.64,0.72,0.7,0.66,0.36134624,0.19659975,0.51375973,0.32178482,0.40662307,0.99535394,0.8403052,0.017052293,0.871887,0.94617814,0.9393163,0.8072968,0.61299115,0.8115462,0.88681394,0.91497314,0.69723856,0.9883675,0.97303355,0.86635,0.97647846,0.9146011,0.5242931,0.65472376,0.6188136986165382,0.6830220608861244,0.7091837779130441,0.38774595830302794,0.5466867985576961,0.6090459318269889
738,ETH-USD,2024-06-02,3766.38916015625,0.4192315897586948,0.3066832276795599,0.10480354780994584,0.36298391605085056,0.7332701857812604,0.7348206496960844,0.3736321543208948,0.4758208763314515,0.3911518773920546,0.38199667405777127,0.658472315428788,0.6876919620079902,0.666849504172146,0.39366024055586074,0.17434800920413596,0.5175203200193983,0.6218320873019189,0.5942407917964688,0.6313032138966391,0.6864549050880607,0.34022821308821805,0.8039128195599144,0.6806733462293294,0.5803787930953873,0.41,0.26,0.39,0.6,0.66,0.6,0.28,0.18,0.45,0.72,0.67,0.63,0.35,0.25,0.49,0.77,0.59,0.71,0.5,0.56,0.57,0.76,0.72,0.66,0.27333564,0.12774181,0.43638048,0.37865558,0.4114747,0.99506146,0.82426965,0.014590289,0.79816556,0.9514955,0.9428895,0.83670217,0.65127516,0.79516417,0.7543533,0.92108333,0.75142413,0.9916857,0.9884015,0.8264723,0.97440207,0.93388987,0.5773468,0.71778977,0.6664272145232211,0.6853330132398239,0.7476266581633559,0.3387899449980989,0.4841273916226593,0.4604936750107863
338,BTC-USD,2024-06-02,68804.78125,0.384091106411568,0.5654765684591437,0.2372327203951125,0.3482952216769074,0.4340733284597672,0.15442242832894287,0.34572227311180115,0.43911529688809814,0.248681562834043,0.21555905380201829,0.5493722177057204,0.13296705193434788,0.21074149584988772,0.42353174573687263,0.15377914382726987,0.3227734904521236,0.19720433809269028,0.014482755764727531,0.18719924356083975,0.18977949767175775,0.012537545447618502,0.06671042140916388,0.7061950300794765,0.0407667791608582,0.36,0.22,0.35,0.69,0.69,0.64,0.27,0.16,0.48,0.75,0.74,0.67,0.3,0.28,0.5,0.79,0.6,0.75,0.46,0.5,0.59,0.72,0.79,0.66,0.19800413,0.05876121,0.22151099,0.80940855,0.42706844,0.9925028,0.907117,0.019562857,0.92566115,0.95296794,0.9532999,0.88833547,0.6186331,0.91723245,0.74034524,0.95111567,0.91524726,0.9967456,0.8619227,0.8411274,0.898802,0.95297235,0.8462439,0.79984033,0.6891526614178188,0.7111357034169525,0.645901570328247,0.3341013476351064,0.4283069850600647,0.4264006046017527
1139,SOL-USD,2024-06-03,171.8019256591797,0.8230956644642934,0.6912623341216914,0.6297882745403273,0.6935329642786872,0.5586668305339788,0.6810646914614192,0.7762274302752322,0.8549529957866557,0.8179117983693095,0.46320817223541744,0.4918359404357624,0.44422627531072917,0.7042828002170376,0.23434674417373708,0.8851718572974536,0.5357887927352448,0.31960651481163027,0.37687654196691994,0.6974731068152312,0.709055489985064,0.8071130356998855,0.40216353410428557,0.5850247589652373,0.5457818170476854,0.39,0.24,0.37,0.59,0.68,0.58,0.28,0.19,0.51,0.72,0.65,0.63,0.39,0.29,0.53,0.77,0.59,0.71,0.5,0.55,0.64,0.72,0.7,0.66,0.36134624,0.19659975,0.51375973,0.32178482,0.40662307,0.99535394,0.8403052,0.017052293,0.871887,0.94617814,0.9393163,0.8072968,0.61299115,0.8115462,0.88681394,0.91497314,0.69723856,0.9883675,0.97303355,0.86635,0.97647846,0.9146011,0.5242931,0.65472376,0.6188019392496481,0.6829897050875438,0.7091749098622002,0.3877365570132039,0.5467011584111053,0.6090633546543395
739,ETH-USD,2024-06-03,3812.515869140625,0.36395727641780573,0.3602280385286225,0.09022946409995047,0.40621606133931676,0.7068807393933465,0.7319676422783861,0.3350717721224415,0.5101119705777988,0.3515591060346532,0.47529333701874504,0.6704983905441929,0.7033851947072253,0.6424965264067279,0.4062932395004114,0.1786456528554529,0.5740962599497069,0.6443905388292084,0.6219261675943628,0.5836919723443548,0.6427206035659435,0.3239168950476438,0.8309159259649099,0.764441146036124,0.6445428092549526,0.42,0.27,0.39,0.61,0.66,0.63,0.28,0.18,0.45,0.72,0.67,0.64,0.36,0.25,0.49,0.78,0.59,0.71,0.51,0.54,0.58,0.76,0.76,0.67,0.27380627,0.12774181,0.42663977,0.37865558,0.4114747,0.99277675,0.82426965,0.014590289,0.79816556,0.9478984,0.9428895,0.8260637,0.65127516,0.79516417,0.7543533,0.92108333,0.6319002,0.9916857,0.9884015,0.84350014,0.97440207,0.93388987,0.5773468,0.7099637,0.6618049876619712,0.6980572853475024,0.7566588555442557,0.34353696382992616,0.47951303340781204,0.45451097271390833
339,BTC-USD,2024-06-03,70567.765625,0.31259947555464485,0.5228670810155225,0.21526948760000553,0.37539205713964446,0.47217069591979643,0.17282035639592572,0.27636178806830225,0.36625209819754095,0.23620090773201585,0.25436091207019196,0.5829377365324993,0.15029275580668297,0.17019842508856098,0.30301710737227466,0.08041047043878054,0.32558688545953246,0.22469601937287154,0.03039496839806363,0.10025431119805364,0.2039590968489129,0.014376587455448677,0.0595816160326614,0.7176461414674198,0.04958070049739232,0.37,0.21,0.35,0.69,0.69,0.65,0.29,0.14,0.47,0.75,0.76,0.67,0.31,0.25,0.5,0.79,0.61,0.75,0.46,0.5,0.58,0.75,0.82,0.68,0.18744038,0.05876121,0.20768845,0.8124085,0.4890598,0.9925028,0.90368134,0.016744561,0.92566115,0.95296794,0.9532999,0.914918,0.6415322,0.90312654,0.6289202,0.94469756,0.8895007,0.9965919,0.85208344,0.8411274,0.898802,0.9507763,0.8462439,0.79984033,0.7047522593019621,0.7166926362326563,0.6548725530737152,0.31690495737660107,0.4207455869220151,0.41060859041285624
1140,SOL-USD,2024-06-04,173.48291015625,0.7156447753353036,0.817836627610913,0.5098854587640899,0.794270919774171,0.462925079183263,0.6610246424789347,0.7024155011636579,0.8954254634181148,0.7409964570005496,0.7195887993897389,0.5431094251918783,0.4830742471993488,0.6578659937898625,0.2859745403175909,0.904153343906007,0.6842662935058342,0.39514445073200244,0.44263222573711813,0.570542142341444,0.5895527307209064,0.7784473893602442,0.5127911799105641,0.8346603836087352,0.7099525653275173,0.4,0.22,0.36,0.62,0.7,0.64,0.29,0.2,0.5,0.72,0.67,0.64,0.37,0.27,0.52,0.77,0.62,0.72,0.49,0.5,0.65,0.72,0.8,0.68,0.37664604,0.16333586,0.4946167,0.35611656,0.37306526,0.9956884,0.92405313,0.017052293,0.89874053,0.9351676,0.9265944,0.88656867,0.7002479,0.9146322,0.88681394,0.91497314,0.76640433,0.9887997,0.9287517,0.9049307,0.97853607,0.9193246,0.8128218,0.6460113,0.6742419298717277,0.7197496707077133,0.738576765215367,0.3950398749481824,0.5476058218215683,0.586824549861428
