,Symbol,Date,Close,rf_pb_15N_30d,lr_pb_10N_30d,Xv_pb_10P_30d,rf_pb_20N_30d,rf_pb_10N_15d,rf_pb_10P_30d,Xv_pb_10N_30d,rf_pb_10N_30d,Xv_pb_15N_30d,rf_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
886784,ZEC-USD,2024-08-03,30.99901580810547,0.6452327181261007,0.6848255903470978,0.06123692,0.6393552575940684,0.6081926578791694,0.4032782487120723,0.9522463,0.6154668414792628,0.87117124,0.4098620295317658,0.2957402024175439,0,0,0.7324978915125309,0.6081926578791694,0
582328,PEOPLE-USD,2024-08-03,0.05555792152881622,0.4651501554001554,0.9259832164388316,0.052475058,0.3933704490467648,0.4239273670372741,0.451848223671753,0.8744681,0.3983524393064242,0.84016347,0.402627574437946,0.30792051321978087,0,0,0.6416774826539765,0.4239273670372741,0
609133,PSL-USD,2024-08-03,0.00015388315659947693,0.43026473685413313,0.3096364875880729,0.0085531045,0.3574168574115943,0.4194681413214695,0.39015593652922415,0.9751475,0.3901003999125782,0.91411835,0.36999354186844835,0.26130285822685806,0,0,0.5611442819599506,0.4194681413214695,0
705792,STX-USD,2024-08-03,0.006037960760295391,0.43026473685413313,0.9490089174940343,0.0085531045,0.3574168574115943,0.4194681413214695,0.39015593652922415,0.9751475,0.3901003999125782,0.91411835,0.36999354186844835,0.26130285822685806,0,0,0.6609869937009667,0.4194681413214695,0
810186,VOXEL-USD,2024-08-03,0.11552230268716812,0.4466866319954555,0.2166264755556414,0.0085531045,0.4175472869236028,0.4211852061194167,0.27716811660561663,0.9806238,0.4277454830531831,0.8891345,0.22155085477052006,0.17309886386410517,0,0,0.5629047414045532,0.4211852061194167,0
585291,PHA-USD,2024-08-03,0.10174019634723663,0.4514088542176777,0.26109207484752045,0.0085531045,0.41759856897488484,0.42201853945275003,0.2734812479187479,0.9806238,0.44442848958913084,0.8891345,0.20311434683401214,0.16583426852284722,0,0,0.5739190539361048,0.42201853945275003,0
51263,APT-USD,2024-08-03,0.00040937194717116654,0.35889317459286496,0.9926459685303036,0.009305167,0.3492690096453254,0.42362392916108094,0.4119526307026306,0.9806238,0.2989215333101158,0.8891345,0.4105345400213821,0.282401264541199,0,0,0.6335858835920065,0.42362392916108094,0
780272,UOS-USD,2024-08-03,0.08324573934078217,0.37712846871051203,0.7825297045397949,0.009305167,0.35593567631199213,0.42362392916108094,0.4269526307026306,0.9806238,0.2989215333101158,0.8891345,0.4220496915365336,0.291467501592558,0,0,0.604939281416819,0.42362392916108094,0
832780,WMT-USD,2024-08-03,0.17803700268268585,0.4943241268535386,0.7403722057675044,0.0044195177,0.499808137184453,0.42479728212908313,0.26728295196183127,0.9530333,0.43071680765221665,0.8876589,0.2738026030222682,0.18510961784738916,0,0,0.6608410881679991,0.42479728212908313,0
60711,ARX-USD,2024-08-03,0.0009183220099657774,0.4480742606636569,0.2852303917863884,0.0085531045,0.3492392017339386,0.4265850244383526,0.3847816996549872,0.9751475,0.39885905792123616,0.91411835,0.34754558763390037,0.2521418941362492,0,0,0.5609065667872521,0.4265850244383526,0
715973,SWASH-USD,2024-08-03,0.005846212152391672,0.3760669077224805,0.998245594805927,0.0085531045,0.35035247734721425,0.4249944622227904,0.3232385669885669,0.98571557,0.33245637451932664,0.93738407,0.31165777789461996,0.21860934939212945,0,0,0.6523913213973125,0.4249944622227904,0
736917,TIDAL-USD,2024-08-03,0.00017256215505767614,0.4480742606636569,0.8036364616907602,0.0085531045,0.3492392017339386,0.4265850244383526,0.3847816996549872,0.9751475,0.39885905792123616,0.91411835,0.34754558763390037,0.2521418941362492,0,0,0.6418594909067172,0.4265850244383526,0
876966,XWG-USD,2024-08-03,0.00045824158587493,0.4480742606636569,0.8269946401153935,0.0085531045,0.3492392017339386,0.4265850244383526,0.3847816996549872,0.9751475,0.39885905792123616,0.91411835,0.34754558763390037,0.2521418941362492,0,0,0.6455070424215501,0.4265850244383526,0
681974,SLP-USD,2024-08-03,0.0023502239491790533,0.4480742606636569,0.7643747426983516,0.0085531045,0.3492392017339386,0.4265850244383526,0.3847816996549872,0.9751475,0.39885905792123616,0.91411835,0.34754558763390037,0.2521418941362492,0,0,0.6357284844565447,0.4265850244383526,0
707044,SUIA-USD,2024-08-03,0.03543247655034065,0.4480742606636569,0.8607524804575175,0.0085531045,0.3492392017339386,0.4265850244383526,0.3847816996549872,0.9751475,0.39885905792123616,0.91411835,0.3495758906642034,0.2527970830590759,0,0,0.6507785777030661,0.4265850244383526,0
671196,SHILL-USD,2024-08-03,0.002469669794663787,0.4480742606636569,0.10048947242968774,0.0085531045,0.3492392017339386,0.4265850244383526,0.3847816996549872,0.9751475,0.39885905792123616,0.91411835,0.34754558763390037,0.2521418941362492,0,0,0.5320579122388941,0.4265850244383526,0
859309,XLM-USD,2024-08-03,0.08888812363147736,0.5005952690670182,0.8484185606653429,0.0085531045,0.36465495264968945,0.4194681413214695,0.40017866380195144,0.9751475,0.4064337332459115,0.91411835,0.3741071782320847,0.26620528242427716,0,0,0.6617536325271149,0.4194681413214695,0
604596,PRE-USD,2024-08-03,0.010022512637078762,0.43026473685413313,0.3418023166983936,0.0085531045,0.3574168574115943,0.4194681413214695,0.39015593652922415,0.9751475,0.3901003999125782,0.91411835,0.36999354186844835,0.26130285822685806,0,0,0.566167212967853,0.4194681413214695,0
683174,SNS-USD,2024-08-03,0.02002970688045025,0.43026473685413313,0.372054816944459,0.0085531045,0.3574168574115943,0.4194681413214695,0.39015593652922415,0.9751475,0.3901003999125782,0.91411835,0.36999354186844835,0.26130285822685806,0,0,0.5708913635884187,0.4194681413214695,0
716666,SWEAT-USD,2024-08-03,0.005788333248347044,0.43026473685413313,0.8513432177522956,0.0085531045,0.3574168574115943,0.4194681413214695,0.39015593652922415,0.9751475,0.3901003999125782,0.91411835,0.36999354186844835,0.26130285822685806,0,0,0.6457357757093913,0.4194681413214695,0
