,Symbol,Date,Close,lr_pb_10N_15d,lr_pb_10N_30d,lr_pb_10N_7d,lr_pb_10P_15d,lr_pb_10P_30d,lr_pb_10P_7d,lr_pb_15N_15d,lr_pb_15N_30d,lr_pb_15N_7d,lr_pb_15P_15d,lr_pb_15P_30d,lr_pb_15P_7d,lr_pb_20N_15d,lr_pb_20N_30d,lr_pb_20N_7d,lr_pb_20P_15d,lr_pb_20P_30d,lr_pb_20P_7d,lr_pb_25N_15d,lr_pb_25N_30d,lr_pb_25N_7d,lr_pb_25P_15d,lr_pb_25P_30d,lr_pb_25P_7d,rf_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_7d,rf_pb_10P_15d,rf_pb_10P_30d,rf_pb_10P_7d,rf_pb_15N_15d,rf_pb_15N_30d,rf_pb_15N_7d,rf_pb_15P_15d,rf_pb_15P_30d,rf_pb_15P_7d,rf_pb_20N_15d,rf_pb_20N_30d,rf_pb_20N_7d,rf_pb_20P_15d,rf_pb_20P_30d,rf_pb_20P_7d,rf_pb_25N_15d,rf_pb_25N_30d,rf_pb_25N_7d,rf_pb_25P_15d,rf_pb_25P_30d,rf_pb_25P_7d,Xv_pb_10N_15d,Xv_pb_10N_30d,Xv_pb_10N_7d,Xv_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_10P_7d,Xv_pb_15N_15d,Xv_pb_15N_30d,Xv_pb_15N_7d,Xv_pb_15P_15d,Xv_pb_15P_30d,Xv_pb_15P_7d,Xv_pb_20N_15d,Xv_pb_20N_30d,Xv_pb_20N_7d,Xv_pb_20P_15d,Xv_pb_20P_30d,Xv_pb_20P_7d,Xv_pb_25N_15d,Xv_pb_25N_30d,Xv_pb_25N_7d,Xv_pb_25P_15d,Xv_pb_25P_30d,Xv_pb_25P_7d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
886784,ZEC-USD,2024-08-03,30.99901580810547,0.7103971988375427,0.6848255903470978,0.7050494177270124,0.48280295690561276,0.5015581852775449,0.5475402642008139,0.7603677879168804,0.6333773735872358,0.7226454331586967,0.4792719159428043,0.4869925009076285,0.5681694035876339,0.7410246793036822,0.6479147941223118,0.7124717367322873,0.4857991545275927,0.3869954311251578,0.5737371724100229,0.704156907404612,0.6544136785520415,0.5809720589861738,0.46994661962370143,0.3983402156449325,0.5404496162462129,0.6081926578791694,0.6154668414792628,0.5147485854788487,0.3676762775637389,0.4032782487120723,0.5294076208849439,0.5514354000218663,0.6452327181261007,0.5110716658820109,0.4167235352092049,0.4098620295317658,0.47603731725790555,0.5792212150594505,0.6393552575940684,0.5542149933399935,0.4706996120494572,0.4221437133925292,0.6146599402335952,0.6547527310599394,0.6044530200191965,0.6060151276741833,0.5326014044435099,0.3973278286900579,0.5280181909593675,0.58330333,0.9522463,0.87577015,0.06328025,0.06123692,0.6698307,0.8442867,0.87117124,0.88308835,0.25286886,0.04694181,0.099309854,0.9464864,0.80583894,0.9734115,0.06592018,0.1965584,0.20077285,0.882435,0.25050423,0.90723264,0.095812015,0.17416753,0.455088,0.2957402024175439,0,0,0.7324978915125309,0.6081926578791694,0
582328,PEOPLE-USD,2024-08-03,0.05555792152881622,0.8518308716660539,0.9259832164388316,0.8012499311630514,0.24324324588580296,0.21543038226620267,0.37694003496745565,0.907990012770068,0.8950214733035984,0.8368857921419307,0.26132769920362264,0.21434550857648177,0.3636777596961523,0.9115667076537346,0.8833525393027444,0.8530612090577321,0.2606094762170173,0.13367898611628198,0.374866511795695,0.8922022451124185,0.9138784494709231,0.7574434960666873,0.20238767876929806,0.14384539027091237,0.31401331123878046,0.4239273670372741,0.3983524393064242,0.38519894067920374,0.3914516370082159,0.451848223671753,0.5038163035039169,0.5040844225219225,0.4651501554001554,0.3567531510634959,0.4235289243075506,0.402627574437946,0.5500646412411119,0.45779766291056617,0.3933704490467648,0.4321554695304695,0.5174938873387148,0.45446110833610853,0.5153927926648514,0.508903257086761,0.4354932580070151,0.5322054268830585,0.5325803379626911,0.38212444119777716,0.5698957553884023,0.3820182,0.8744681,0.9235205,0.050222673,0.052475058,0.9507432,0.71360075,0.84016347,0.9559128,0.088561974,0.012952146,0.23841275,0.9586317,0.74113244,0.8442454,0.1237615,0.056535456,0.48171014,0.9677742,0.3825202,0.8709611,0.2885418,0.13783325,0.18981814,0.30792051321978087,0,0,0.6416774826539765,0.4239273670372741,0
609133,PSL-USD,2024-08-03,0.00015388315659947693,0.43307910820347306,0.3096364875880729,0.48106346123376825,0.6087636440583583,0.7591373692765014,0.5391009123180395,0.47323428863909794,0.24946263509273692,0.49975082179777386,0.5395576011720036,0.7257602222150183,0.492270295519691,0.4647919188580199,0.24648063318689703,0.4982920926465433,0.5039808824243548,0.5979105522197464,0.45359063674981975,0.4369398987354574,0.24089360942204058,0.3889563718089199,0.4572305965511183,0.5827250018820588,0.3917919848943675,0.4194681413214695,0.3901003999125782,0.47381446934348836,0.36369265880483614,0.39015593652922415,0.4700615076100368,0.46733679351694063,0.43026473685413313,0.5873499893352833,0.472749102849335,0.36999354186844835,0.4420910200051067,0.42900685425685414,0.3574168574115943,0.5652541785699681,0.462414157455011,0.4774441971427267,0.4071498150971835,0.4838784124372361,0.47992480726765174,0.5980570954489018,0.3817628384687207,0.48112092811609997,0.549834221677875,0.7183063,0.9751475,0.9061872,0.057833936,0.0085531045,0.9045595,0.78879404,0.91411835,0.98386854,0.0998067,0.016928438,0.52238,0.9733,0.834431,0.91637814,0.07135887,0.04606391,0.59715134,0.9624611,0.29628584,0.7067123,0.23421809,0.061069682,0.18063673,0.26130285822685806,0,0,0.5611442819599506,0.4194681413214695,0
705792,STX-USD,2024-08-03,0.006037960760295391,0.8578460477970817,0.9490089174940343,0.754178797772579,0.1925171688730367,0.14059134723396707,0.29293490419997725,0.908051103168995,0.9201198917759219,0.7818025542733958,0.2093151953179842,0.1435398292815785,0.273415070321105,0.9089261622696928,0.9098303133842409,0.803669876552891,0.207208611413146,0.09080420433806294,0.26623005875529565,0.8873285962100012,0.9301104164770805,0.6319207074655773,0.14484221189084265,0.0953545068705883,0.2238953496012096,0.4194681413214695,0.3901003999125782,0.47381446934348836,0.36369265880483614,0.39015593652922415,0.4700615076100368,0.46733679351694063,0.43026473685413313,0.5873499893352833,0.472749102849335,0.36999354186844835,0.4420910200051067,0.42900685425685414,0.3574168574115943,0.5652541785699681,0.462414157455011,0.4774441971427267,0.4071498150971835,0.47712841243723614,0.47992480726765174,0.5980570954489018,0.3817628384687207,0.48112092811609997,0.549834221677875,0.7183063,0.9751475,0.9061872,0.057833936,0.0085531045,0.9045595,0.78879404,0.91411835,0.98386854,0.0998067,0.016928438,0.52238,0.9733,0.834431,0.91637814,0.07135887,0.04606391,0.59715134,0.9624611,0.29628584,0.7067123,0.23421809,0.061069682,0.18063673,0.26130285822685806,0,0,0.6609869937009667,0.4194681413214695,0
810186,VOXEL-USD,2024-08-03,0.11552230268716812,0.2882571198976111,0.2166264755556414,0.36960511074544145,0.5725166396262634,0.6245195856490939,0.5465512808096606,0.32546701505478215,0.17704868029102874,0.4145239655787993,0.517861825085994,0.5750106237605066,0.49301279485652866,0.3047288618405292,0.15992906024769285,0.430080868161899,0.4738660502819149,0.44535916970911466,0.4599072012273719,0.2900015479934065,0.17222253446538133,0.3510357833425735,0.42119518728139177,0.4185814743415991,0.3725631435728302,0.4211852061194167,0.4277454830531831,0.4975051316052035,0.3464116436043632,0.27716811660561663,0.47893530741955376,0.5867014027639029,0.4466866319954555,0.6066530473883414,0.39539525530869973,0.22155085477052006,0.471696077169147,0.5137759103641458,0.4175472869236028,0.5524126140599432,0.3635724178341693,0.36347646387917043,0.5419740208916235,0.48792206486324147,0.5903940337268508,0.5864122853193634,0.428895759299149,0.3010437337598463,0.5451147661735898,0.67790383,0.9806238,0.8931776,0.03958307,0.0085531045,0.88164234,0.86753386,0.8891345,0.9897043,0.084978856,0.016928438,0.5857002,0.9733,0.834431,0.9122653,0.06925066,0.04606391,0.64572954,0.9425631,0.13148077,0.74961144,0.16391593,0.051010944,0.22216655,0.17309886386410517,0,0,0.5629047414045532,0.4211852061194167,0
585291,PHA-USD,2024-08-03,0.10174019634723663,0.3796972469753752,0.26109207484752045,0.4740153183003662,0.5109825117108127,0.6346176709884039,0.48137987071947713,0.4250460182379792,0.19807247540709005,0.5837082361507103,0.43359275485133314,0.5759176366400623,0.43288458811721164,0.4370751056087255,0.1654196031757115,0.5791713137103043,0.4031951107537693,0.3968669795878742,0.4082367722707077,0.4466927397217252,0.19379054268169277,0.5026648439905592,0.3319952934528337,0.38000080151697796,0.3300775561687689,0.42201853945275003,0.44442848958913084,0.5051737823988542,0.3207137886692752,0.2734812479187479,0.45144876331398065,0.5892418068043069,0.4514088542176777,0.6066530473883414,0.37380740823421005,0.20311434683401214,0.4051255460625991,0.5137759103641458,0.41759856897488484,0.5981177140674626,0.3088456615558666,0.3512794941822008,0.46518606538307994,0.48745489314606977,0.5788264346592518,0.6028595741416521,0.3747515962916142,0.2906685533846659,0.5119212554359613,0.67790383,0.9806238,0.9061872,0.03958307,0.0085531045,0.88164234,0.78390396,0.8891345,0.9897043,0.084978856,0.016928438,0.52238,0.9733,0.834431,0.9122653,0.06925066,0.04606391,0.59715134,0.9654427,0.13148077,0.74961144,0.16391593,0.051010944,0.15888026,0.16583426852284722,0,0,0.5739190539361047,0.42201853945275003,0
51263,APT-USD,2024-08-03,0.00040937194717116654,0.9433459091788817,0.9926459685303036,0.8685200442347342,0.09757112351821105,0.039261054731871595,0.23558853211607483,0.9745721248827508,0.9861420671158427,0.9263572143186326,0.12552536815044044,0.04391824108451276,0.2258378711323359,0.977232493617444,0.9796241191800857,0.9411958759486563,0.14400649918023667,0.02127291112237701,0.24920294334770157,0.974824706368889,0.9907613776868749,0.8591272341723103,0.07823785839168983,0.023448435666575097,0.21017361783163022,0.42362392916108094,0.2989215333101158,0.45147171765073674,0.3924717782387123,0.4119526307026306,0.48503883157904876,0.42047152976022945,0.35889317459286496,0.5340061485355603,0.47049117858405787,0.4105345400213821,0.4263747443217259,0.45710712898212896,0.3492690096453254,0.5619807399304885,0.43034109776616186,0.46558593344670973,0.47429194561396004,0.5380902085960134,0.460775856201518,0.5748395793049152,0.457268123046513,0.5075770687645688,0.5667575757575759,0.7258243,0.9806238,0.9061872,0.03958307,0.009305167,0.8202683,0.8750664,0.8891345,0.98906446,0.12297108,0.016928438,0.52238,0.9733,0.834431,0.92184836,0.07889071,0.0342998,0.59715134,0.9752117,0.19140947,0.7985067,0.16391593,0.07370413,0.24828398,0.282401264541199,0,0,0.6335858835920065,0.42362392916108094,0
780272,UOS-USD,2024-08-03,0.08324573934078217,0.6367783734460033,0.7825297045397949,0.5829920560901571,0.2776437116058029,0.22063151290251937,0.36462972976329994,0.7388960940669782,0.7225942395986565,0.683509961233598,0.29323330414078336,0.21994754439623598,0.35287704593830826,0.7472112725004793,0.6876562940517095,0.7092041691277201,0.30218655347110557,0.15637854295119452,0.3585177386326378,0.7495247940077288,0.7805124544591916,0.5924050534714642,0.23695744634590332,0.1659972103884152,0.31233836750299765,0.42362392916108094,0.2989215333101158,0.4549002890793082,0.39413844490537897,0.4269526307026306,0.49532454586476304,0.41936041864911827,0.37712846871051203,0.5340061485355603,0.47049117858405787,0.4220496915365336,0.43964747159445317,0.4598344017094017,0.35593567631199213,0.5786474065971552,0.43691252633759037,0.46886371122448756,0.4788374001594146,0.5548997324055374,0.46895767438333613,0.5823395793049152,0.467268123046513,0.5044342116217115,0.6018409090909091,0.7258243,0.9806238,0.9061872,0.03958307,0.009305167,0.8202683,0.8750664,0.8891345,0.98906446,0.12297108,0.016928438,0.52238,0.9733,0.834431,0.92184836,0.07889071,0.0342998,0.59715134,0.9752117,0.19140947,0.7985067,0.16391593,0.07370413,0.24828398,0.291467501592558,0,0,0.6049392814168189,0.42362392916108094,0
832780,WMT-USD,2024-08-03,0.17803700268268585,0.6796069580607177,0.7403722057675044,0.6632839022943016,0.35899882219251145,0.37310902347875535,0.43830300049945053,0.7520765274414213,0.6565585844601672,0.7101051378664925,0.3382301359792481,0.3576968482834523,0.4045671486022927,0.7463600333318022,0.6294741474790627,0.7091415050368771,0.321551994354032,0.23723979315465377,0.38989361089626495,0.7052776892373941,0.6732793247331768,0.5386781929853734,0.25589725300268845,0.22917673845694198,0.310973647857678,0.42479728212908313,0.43071680765221665,0.4938443446797106,0.3935344304388422,0.26728295196183127,0.4590097508735073,0.5405941211566211,0.4943241268535386,0.5438826076635406,0.39355871010473165,0.2738026030222682,0.4734374285107045,0.5199978036669214,0.499808137184453,0.5729868033115518,0.4386800110458647,0.3894000945607936,0.5395137215725453,0.5292979340920517,0.5691936201053847,0.5677915652274893,0.3932998374364653,0.35895750899427376,0.5595795834770292,0.50183964,0.9530333,0.9521872,0.05720543,0.0044195177,0.948645,0.6573073,0.8876589,0.988513,0.06578201,0.017167646,0.3297143,0.96754783,0.81784576,0.9146762,0.029735412,0.08114895,0.68692,0.9764563,0.19719937,0.63392603,0.48177308,0.06830529,0.20960139,0.18510961784738916,0,0,0.6608410881679991,0.42479728212908313,0
60711,ARX-USD,2024-08-03,0.0009183220099657774,0.4264058211873937,0.2852303917863884,0.4949660240152472,0.5548888258381708,0.6776948584851956,0.49535854395356294,0.4803629488436447,0.23970968036550808,0.569725260773168,0.5141726897541122,0.6419964087963048,0.47685693826808595,0.49442457298112064,0.23273623501605276,0.5859871322850464,0.49998045423745585,0.5105103983885938,0.4632967527780871,0.5084856919024496,0.2658696079995062,0.4901707225650124,0.4491734144132206,0.5158945606863181,0.4122797131169243,0.4265850244383526,0.39885905792123616,0.49640013367915276,0.3944005142057609,0.3847816996549872,0.47320867807242467,0.47938441256455966,0.4480742606636569,0.5985404655257596,0.4872036205538528,0.34754558763390037,0.4348346097486964,0.43800685425685415,0.3492392017339386,0.5703569924227818,0.46983860800446153,0.4907396516881811,0.42651273726273736,0.4776760314848552,0.4926748072676517,0.5983348732266797,0.3688891010949834,0.476580524075696,0.5537427184099011,0.78729427,0.9751475,0.9061872,0.057833936,0.0085531045,0.9045595,0.78879404,0.91411835,0.98386854,0.0998067,0.016928438,0.52238,0.9733,0.834431,0.91637814,0.06925066,0.04606391,0.59715134,0.9624611,0.29628584,0.74961144,0.22281584,0.061069682,0.18063673,0.2521418941362492,0,0,0.5609065667872521,0.4265850244383526,0
