;Symbol;Date;Close;Models;Probability;model;percent_correct_entries;simulate_variation;reached_target
186;BOLT-USD;2024-08-24;0,0032563391141593456;Xv_pb_15P_30d;0,9965158700942993;Xv_pb_15P_30d;0,25547445255474455;0,18318666345069667;True
418;LBP-USD;2024-08-24;0,0002486884477548301;Xv_pb_15P_30d;0,9946678876876831;Xv_pb_15P_30d;0,44285714285714284;0,24053801064751315;True
254;GHX-USD;2024-08-24;0,08500193059444427;Xv_pb_15P_30d;0,9946678876876831;Xv_pb_15P_30d;0,35602094240837695;0,24043046197069512;True
547;GLQ-USD;2024-08-24;0,06495504081249237;Xv_pb_15P_30d;0,9946678876876831;Xv_pb_15P_30d;0,3263157894736842;0,24013913192194608;True
462;COTI-USD;2024-08-24;0,0996885746717453;Xv_pb_15P_30d;0,9946678876876831;Xv_pb_15P_30d;0,28780487804878047;0,19659783328190608;True
532;GLM-USD;2024-08-24;0,3290235698223114;Xv_pb_15P_30d;0,9946678876876831;Xv_pb_15P_30d;0,2835820895522388;0,165633131886596;True
529;POLYX-USD;2024-08-24;0,24994373321533203;Xv_pb_15P_30d;0,9946678876876831;Xv_pb_15P_30d;0,34782608695652173;0,15281084229464678;True
196;REV3L-USD;2024-08-24;0,007456519175320864;Xv_pb_15P_30d;0,993815541267395;Xv_pb_15P_30d;0,3181818181818182;0,3001234905916604;True
343;CTI-USD;2024-08-24;0,01257249340415001;Xv_pb_15P_30d;0,993725597858429;Xv_pb_15P_30d;0,3644067796610169;0,3589860465482235;True
165;SWFTC-USD;2024-08-24;0,0034317639656364918;Xv_pb_15P_30d;0,9924024343490601;Xv_pb_15P_30d;0,34782608695652173;0,18128346448332305;True
273;CKB-USD;2024-08-24;0,010102901607751846;Xv_pb_15P_30d;0,9922882318496704;Xv_pb_15P_30d;0,29381443298969073;0,20581332981680087;True
256;SHIB-USD;2024-08-24;1,5255829566740431e-05;Xv_pb_15P_30d;0,9922882318496704;Xv_pb_15P_30d;0,17073170731707318;0,18823070577909196;True
148;AIOZ-USD;2024-08-24;0,49286869168281555;Xv_pb_15P_30d;0,99114590883255;Xv_pb_15P_30d;0,3403141361256545;0,274714038050243;True
386;ZPAY-USD;2024-08-24;0,009078177623450756;Xv_pb_15P_30d;0,9909291863441467;Xv_pb_15P_30d;0,34177215189873417;0,2277614461956776;True
370;TEL-USD;2024-08-24;0,0016445480287075043;Xv_pb_15P_30d;0,9909291863441467;Xv_pb_15P_30d;0,28640776699029125;0,1773078520628317;True
206;RSR-USD;2024-08-24;0,006415227893739939;Xv_pb_15P_30d;0,9901368618011475;Xv_pb_15P_30d;0,40096618357487923;0,22925248552160502;True
212;PSTAKE-USD;2024-08-24;0,08370709419250488;Xv_pb_15P_30d;0,9877147674560547;Xv_pb_15P_30d;0,3961352657004831;0,24398710347101527;True
4311;JASMY-USD;2024-08-24;0,022719381377100945;Xv_pb_20P_30d;0,9864605665206909;Xv_pb_20P_30d;0,366412213740458;0,42814771297947335;True
4271;PEOPLE-USD;2024-08-24;0,07444744557142258;Xv_pb_20P_30d;0,9864605665206909;Xv_pb_20P_30d;0,368;0,3549037426028322;True
199;BONK-USD;2024-08-24;2,1363841369748116e-05;Xv_pb_15P_30d;0,9849212765693665;Xv_pb_15P_30d;0,3864734299516908;0,1870115399000091;True
3914;PSTAKE-USD;2024-08-24;0,08370709419250488;Xv_pb_20P_30d;0,9767318964004517;Xv_pb_20P_30d;0,4230769230769231;0,3516041639295167;True
3901;BONK-USD;2024-08-24;2,1363841369748116e-05;Xv_pb_20P_30d;0,9767318964004517;Xv_pb_20P_30d;0,4142857142857143;0,27296575776474724;True
569;PEOPLE-USD;2024-08-24;0,07444744557142258;Xv_pb_15P_30d;0,9706013798713684;Xv_pb_15P_30d;0,3383838383838384;0,18966398473694057;True
3888;BOLT-USD;2024-08-24;0,0032563391141593456;Xv_pb_20P_30d;0,9695761203765869;Xv_pb_20P_30d;0,34;0,32623142856936665;True
3850;AIOZ-USD;2024-08-24;0,49286869168281555;Xv_pb_20P_30d;0,9667693376541138;Xv_pb_20P_30d;0,2857142857142857;0,2650924373806577;True
98;MC-USD;2024-08-24;1,640590786933899;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,375;0,1641318668310479;True
286;VELO-USD;2024-08-24;0,012857812456786633;Xv_pb_15P_30d;0,9623101949691772;Xv_pb_15P_30d;0,39805825242718446;0,23451830118201789;True
609;JASMY-USD;2024-08-24;0,022719381377100945;Xv_pb_15P_30d;0,957935094833374;Xv_pb_15P_30d;0,3434343434343434;0,31551457641449593;True
604;MOG-USD;2024-08-24;1,2366413102427032e-06;Xv_pb_15P_30d;0,957935094833374;Xv_pb_15P_30d;0,3076923076923077;0,18741436739336492;True
73;DEXE-USD;2024-08-24;9,032683372497559;Xv_pb_15P_30d;0,9559876322746277;Xv_pb_15P_30d;0,21390374331550802;0,23925633153658357;True
66;LPT-USD;2024-08-24;15,255571365356445;Xv_pb_15P_30d;0,9559876322746277;Xv_pb_15P_30d;0,3756906077348066;0,20639733558887124;True
3908;RSR-USD;2024-08-24;0,006415227893739939;Xv_pb_20P_30d;0,9542185664176941;Xv_pb_20P_30d;0,3969465648854962;0,2085471178448451;True
552;SKEY-USD;2024-08-24;0,04421885684132576;Xv_pb_15P_30d;0,9427273869514465;Xv_pb_15P_30d;0,36;0,2758616811263581;True
21;FRONT-USD;2024-08-24;0,8209443092346191;Xv_pb_15P_30d;0,9414206743240356;Xv_pb_15P_30d;0,36363636363636365;0,16034734747551083;True
5505;PEOPLE-USD;2024-08-24;0,07444744557142258;Xv_pb_10P_30d;0,9320583343505859;Xv_pb_10P_30d;0,3553299492385787;0,1886755556607497;True
4088;ZPAY-USD;2024-08-24;0,009078177623450756;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,7575757575757576;0,825926043282152;True
4045;CTI-USD;2024-08-24;0,01257249340415001;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,391304347826087;0,4819772516486288;True
4120;LBP-USD;2024-08-24;0,0002486884477548301;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,6046511627906976;0,4738136233176721;True
4043;SOUL-USD;2024-08-24;0,06125760078430176;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,6388888888888888;0,35584014714029966;True
4237;STRAX-USD;2024-08-24;0,051723379641771317;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,631578947368421;0,2971667729023315;True
4234;GLM-USD;2024-08-24;0,3290235698223114;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,3146853146853147;0,2718038025931007;True
4164;COTI-USD;2024-08-24;0,0996885746717453;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,26143790849673204;0,26396421862641717;True
3923;IDEA-USD;2024-08-24;0,0011400246294215322;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,3516483516483517;0,2518625987391895;True
4072;TEL-USD;2024-08-24;0,0016445480287075043;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,275;0,23914900846523893;True
3910;SUTER-USD;2024-08-24;0,00024026952451094985;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,625;0,2268186618660968;True
4222;IOI-USD;2024-08-24;0,0187030341476202;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,5;0,21381999591605222;True
3956;GHX-USD;2024-08-24;0,08500193059444427;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,3443708609271523;0,20605630278381734;True
4249;GLQ-USD;2024-08-24;0,06495504081249237;Xv_pb_20P_30d;0,9295662045478821;Xv_pb_20P_30d;0,26153846153846155;0,20568245166752255;True
1446;PSTAKE-USD;2024-08-24;0,08370709419250488;Xv_pb_25P_30d;0,9184267520904541;Xv_pb_25P_30d;0,3147208121827411;0,26579669571460646;True
3898;REV3L-USD;2024-08-24;0,007456519175320864;Xv_pb_20P_30d;0,907931923866272;Xv_pb_20P_30d;0,3684210526315789;0,3871856849614504;True
5540;MOG-USD;2024-08-24;1,2366413102427032e-06;Xv_pb_10P_30d;0,9042244553565979;Xv_pb_10P_30d;0,3116883116883117;0,19634182671016184;True
1843;JASMY-USD;2024-08-24;0,022719381377100945;Xv_pb_25P_30d;0,9031640291213989;Xv_pb_25P_30d;0,30808080808080807;0,31551457641449593;True
5047;ZEC-USD;2024-08-24;40,08528137207031;Xv_pb_10P_30d;0,9009665846824646;Xv_pb_10P_30d;0,45410628019323673;0,11367263754481256;True
5142;RSR-USD;2024-08-24;0,006415227893739939;Xv_pb_10P_30d;0,8960917592048645;Xv_pb_10P_30d;0,42718446601941745;0,22491427001762787;True
5416;YGG-USD;2024-08-24;0,47890669107437134;Xv_pb_10P_30d;0,8890761137008667;Xv_pb_10P_30d;0,44366197183098594;0,16652273476800475;True
5279;CTI-USD;2024-08-24;0,01257249340415001;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,3728813559322034;0,3589860465482235;True
5354;LBP-USD;2024-08-24;0,0002486884477548301;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,4714285714285714;0,24053801064751315;True
5190;GHX-USD;2024-08-24;0,08500193059444427;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,39790575916230364;0,24043046197069512;True
5483;GLQ-USD;2024-08-24;0,06495504081249237;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,3473684210526316;0,24013913192194608;True
5398;COTI-USD;2024-08-24;0,0996885746717453;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,37073170731707317;0,19659783328190608;True
5468;GLM-USD;2024-08-24;0,3290235698223114;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,3054187192118227;0,1631722741523818;True
5465;POLYX-USD;2024-08-24;0,24994373321533203;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,3804878048780488;0,1497473761009199;True
5409;SUKU-USD;2024-08-24;0,07195914536714554;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,39408866995073893;0,1427578979472675;True
5467;ZRX-USD;2024-08-24;0,3468926250934601;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,2663316582914573;0,12902089155183835;True
5157;IDEA-USD;2024-08-24;0,0011400246294215322;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,32867132867132864;0,11426440956954882;True
5185;SPA-USD;2024-08-24;0,007740509696304798;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,36893203883495146;0,10655774758558392;True
5386;AMP-USD;2024-08-24;0,004397004377096891;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,2766990291262136;0,10408856581616967;True
5251;ISP-USD;2024-08-24;0,0009326297440566123;Xv_pb_10P_30d;0,8849855661392212;Xv_pb_10P_30d;0,29797979797979796;0,1001334460825316;True
1786;SKEY-USD;2024-08-24;0,04421885684132576;Xv_pb_25P_30d;0,8808764219284058;Xv_pb_25P_30d;0,29333333333333333;0,2758616811263581;True
5545;JASMY-USD;2024-08-24;0,022719381377100945;Xv_pb_10P_30d;0,8764528036117554;Xv_pb_10P_30d;0,3838383838383838;0,31551457641449593;True
3775;DEXE-USD;2024-08-24;9,032683372497559;Xv_pb_20P_30d;0,8752527832984924;Xv_pb_20P_30d;0,4225352112676056;0,6058377864250923;True
5488;SKEY-USD;2024-08-24;0,04421885684132576;Xv_pb_10P_30d;0,8749276995658875;Xv_pb_10P_30d;0,4228187919463087;0,27860835400628936;True
5543;SUN-USD;2024-08-24;0,036304377019405365;Xv_pb_10P_30d;0,8749276995658875;Xv_pb_10P_30d;0,25853658536585367;0,1211354969631827;True
3885;FTM-USD;2024-08-24;0,5263776183128357;Xv_pb_20P_30d;0,8666183352470398;Xv_pb_20P_30d;0,2920353982300885;0,23977520444998;True
5098;SOL-USD;2024-08-24;161,048095703125;Xv_pb_10P_30d;0,8562877178192139;Xv_pb_10P_30d;0,4975845410628019;0,1015844496636308;True
5071;CREAM-USD;2024-08-24;22,68107795715332;Xv_pb_10P_30d;0,8397679924964905;Xv_pb_10P_30d;0,4803921568627451;0,1745814445882684;True
5132;REV3L-USD;2024-08-24;0,007456519175320864;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,3181818181818182;0,3001234905916604;True
5322;ZPAY-USD;2024-08-24;0,009078177623450756;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,379746835443038;0,2277614461956776;True
5209;CKB-USD;2024-08-24;0,010102901607751846;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,33505154639175255;0,20581332981680087;True
5192;SHIB-USD;2024-08-24;1,5255829566740431e-05;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,23414634146341465;0,18823070577909196;True
5306;TEL-USD;2024-08-24;0,0016445480287075043;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,32682926829268294;0,1789525570800585;True
5395;BOSON-USD;2024-08-24;0,31236597895622253;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,3526570048309179;0,12020236266181697;True
5450;LTO-USD;2024-08-24;0,11753623187541962;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,37681159420289856;0,11837360112883144;True
5466;HYDRA-USD;2024-08-24;0,35744261741638184;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,38235294117647056;0,10495453643852416;True
5276;HAI-USD;2024-08-24;0,03682452067732811;Xv_pb_10P_30d;0,8364560604095459;Xv_pb_10P_30d;0,25;0,10284616796572385;True
1382;AIOZ-USD;2024-08-24;0,49286869168281555;Xv_pb_25P_30d;0,8269226551055908;Xv_pb_25P_30d;0,28488372093023256;0,3524323126880488;True
5119;FTM-USD;2024-08-24;0,5263776183128357;Xv_pb_10P_30d;0,8080757260322571;Xv_pb_10P_30d;0,42696629213483145;0,1487575727135042;True
5122;BOLT-USD;2024-08-24;0,0032563391141593456;Xv_pb_10P_30d;0,8031414747238159;Xv_pb_10P_30d;0,2846715328467153;0,18318666345069667;True
5101;SWFTC-USD;2024-08-24;0,0034317639656364918;Xv_pb_10P_30d;0,8031414747238159;Xv_pb_10P_30d;0,3961352657004831;0,18128346448332305;True
1520;VELO-USD;2024-08-24;0,012857812456786633;Xv_pb_25P_30d;0,7958709001541138;Xv_pb_25P_30d;0,3434343434343434;0,25571188818428175;True
4254;SKEY-USD;2024-08-24;0,04421885684132576;Xv_pb_20P_30d;0,781842827796936;Xv_pb_20P_30d;0,2809917355371901;0,24390217612063686;True
5363;WHALE-USD;2024-08-24;0,469144731760025;Xv_pb_10P_30d;0,7651053071022034;Xv_pb_10P_30d;0,75;0,22727823238898467;True
5222;VELO-USD;2024-08-24;0,012857812456786633;Xv_pb_10P_30d;0,7481124401092529;Xv_pb_10P_30d;0,46859903381642515;0,24110857175740477;True
5002;LPT-USD;2024-08-24;15,255571365356445;Xv_pb_10P_30d;0,7449747323989868;Xv_pb_10P_30d;0,41262135922330095;0,1799629716700483;True
1307;DEXE-USD;2024-08-24;9,032683372497559;Xv_pb_25P_30d;0,7274590730667114;Xv_pb_25P_30d;0,26455026455026454;0,3004010709856998;True
5148;PSTAKE-USD;2024-08-24;0,08370709419250488;Xv_pb_10P_30d;0,7111397981643677;Xv_pb_10P_30d;0,4029126213592233;0,23586834046378605;True
1577;CTI-USD;2024-08-24;0,01257249340415001;Xv_pb_25P_30d;0,7065136432647705;Xv_pb_25P_30d;0,3220338983050847;0,3589860465482235;True
5038;AR-USD;2024-08-24;26,301753997802734;Xv_pb_10P_30d;0,6944321393966675;Xv_pb_10P_30d;0,4090909090909091;0,20907661493365723;True
5084;AIOZ-USD;2024-08-24;0,49286869168281555;Xv_pb_10P_30d;0,6852131485939026;Xv_pb_10P_30d;0,390625;0,2778052045595706;True
5045;BNB-USD;2024-08-24;577,1387329101562;Xv_pb_10P_30d;0,6790632605552673;Xv_pb_10P_30d;0,35119047619047616;0,12181724111934684;True
161;OM-USD;2024-08-24;0,9777492880821228;Xv_pb_15P_30d;0,6761508584022522;Xv_pb_15P_30d;0,5495049504950495;0,5743818265847305;True
2194;CTI-USD;2024-08-24;0,01257249340415001;rf_pb_10P_30d;0,67;rf_pb_10P_30d;0,375;0,40159262972384674;True
2037;BOLT-USD;2024-08-24;0,0032563391141593456;rf_pb_10P_30d;0,67;rf_pb_10P_30d;0,3486238532110092;0,27743904051637275;True
2192;SOUL-USD;2024-08-24;0,06125760078430176;rf_pb_10P_30d;0,67;rf_pb_10P_30d;0,47368421052631576;0,1360662896976488;True
2063;PSTAKE-USD;2024-08-24;0,08370709419250488;rf_pb_10P_30d;0,66;rf_pb_10P_30d;0,423728813559322;0,2557134802552921;True
661;XRP-USD;2024-08-24;0,6029919981956482;Xv_pb_10N_30d;0,6520612835884094;Xv_pb_10N_30d;0,5813953488372093;-0,10744938130577941;True
618;NAKA-USD;2024-08-24;1,1210039854049683;Xv_pb_10N_30d;0,6493576169013977;Xv_pb_10N_30d;0,7333333333333333;-0,19830093300906385;True
625;ALICE-USD;2024-08-24;1,1826655864715576;Xv_pb_10N_30d;0,6493576169013977;Xv_pb_10N_30d;0,4852941176470588;-0,12951455202520587;True
5017;ERN-USD;2024-08-24;2,435678005218506;Xv_pb_10P_30d;0,6454146504402161;Xv_pb_10P_30d;0,40236686390532544;0,18721052335398447;True
5033;WLD-USD;2024-08-24;1,8729344606399536;Xv_pb_10P_30d;0,6454146504402161;Xv_pb_10P_30d;0,20359281437125748;0,1657427184097469;True
5036;HIGH-USD;2024-08-24;1,5761134624481201;Xv_pb_10P_30d;0,6454146504402161;Xv_pb_10P_30d;0,535483870967742;0,1257404734200834;True
5020;ORAI-USD;2024-08-24;6,280097484588623;Xv_pb_10P_30d;0,6454146504402161;Xv_pb_10P_30d;0,4093567251461988;0,11615903097671014;True
2335;KRL-USD;2024-08-24;0,3835066556930542;rf_pb_10P_30d;0,64;rf_pb_10P_30d;0,3333333333333333;0,10445320667513308;True
1999;AIOZ-USD;2024-08-24;0,49286869168281555;rf_pb_10P_30d;0,639;rf_pb_10P_30d;0,5;0,49825036083188934;True
3884;RAY-USD;2024-08-24;1,8695497512817383;Xv_pb_20P_30d;0,6374111175537109;Xv_pb_20P_30d;0,43902439024390244;0,2160649574687915;True
3839;OTK-USD;2024-08-24;0,04055340960621834;Xv_pb_20P_30d;0,6358107924461365;Xv_pb_20P_30d;0,5510204081632653;0,21365864419290267;True
2460;JASMY-USD;2024-08-24;0,022719381377100945;rf_pb_10P_30d;0,63;rf_pb_10P_30d;0,35185185185185186;0,2777122812294479;True
2247;WILD-USD;2024-08-24;0,2614111304283142;rf_pb_10P_30d;0,63;rf_pb_10P_30d;0,5217391304347826;0,22754305209406261;True
2420;PEOPLE-USD;2024-08-24;0,07444744557142258;rf_pb_10P_30d;0,63;rf_pb_10P_30d;0,3288590604026846;0,21855004255513918;True
2265;LABS-USD;2024-08-24;0,0001569488231325522;rf_pb_10P_30d;0,63;rf_pb_10P_30d;0,48;0,1469669322480715;True
2421;KAS-USD;2024-08-24;0,17111927270889282;rf_pb_10P_30d;0,63;rf_pb_10P_30d;0,4634146341463415;0,13427264379371415;True
5135;BONK-USD;2024-08-24;2,1363841369748116e-05;Xv_pb_10P_30d;0,6206963658332825;Xv_pb_10P_30d;0,4174757281553398;0,1823181677264053;True
2455;MOG-USD;2024-08-24;1,2366413102427032e-06;rf_pb_10P_30d;0,62;rf_pb_10P_30d;0,3380281690140845;0,24110310784059807;True
2382;ZRX-USD;2024-08-24;0,3468926250934601;rf_pb_10P_30d;0,62;rf_pb_10P_30d;0,30177514792899407;0,21181162308466733;True
2383;GLM-USD;2024-08-24;0,3290235698223114;rf_pb_10P_30d;0,62;rf_pb_10P_30d;0,2878787878787879;0,15315300598545487;True
2324;SUKU-USD;2024-08-24;0,07195914536714554;rf_pb_10P_30d;0,62;rf_pb_10P_30d;0,4;0,1467333847698396;True
2313;COTI-USD;2024-08-24;0,0996885746717453;rf_pb_10P_30d;0,62;rf_pb_10P_30d;0,3333333333333333;0,126006288875915;True
