;simulation;Date;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation
0;1;;rf_pb_20N_30d;2;5;0,4;500;433,8929709539712;-0,1322140580920576
1;2;;rf_pb_20N_30d;0;5;0,0;500;622,3067226802598;0,24461344536051957
2;3;;rf_pb_20N_30d;2;5;0,4;500;428,90437518310017;-0,14219124963379964
3;4;;rf_pb_20N_30d;0;5;0,0;500;613,505902413221;0,2270118048264419
4;5;;rf_pb_20N_30d;2;5;0,4;500;482,64567925706;-0,03470864148587998
5;6;;rf_pb_20N_30d;2;5;0,4;500;402,28411694022145;-0,1954317661195571
6;7;;rf_pb_20N_30d;0;5;0,0;500;520,6260486695815;0,0412520973391629
7;8;;rf_pb_20N_30d;1;5;0,2;500;507,8685838395587;0,01573716767911742
8;9;;rf_pb_20N_30d;2;5;0,4;500;449,7359412383745;-0,10052811752325101
9;10;;rf_pb_20N_30d;2;5;0,4;500;590,4645613199891;0,18092912263997823
10;11;;rf_pb_20N_30d;1;5;0,2;500;521,5277490766905;0,04305549815338099
11;12;;rf_pb_20N_30d;0;5;0,0;500;644,3631830366536;0,2887263660733072
12;13;;rf_pb_20N_30d;2;5;0,4;500;453,83369956539565;-0,0923326008692087
13;14;;rf_pb_20N_30d;1;5;0,2;500;545,5240561202172;0,09104811224043442
14;15;;rf_pb_20N_30d;1;5;0,2;500;519,99045217575;0,03998090435149993
15;16;;rf_pb_20N_30d;5;5;1,0;500;343,9322424640487;-0,31213551507190257
16;17;;rf_pb_20N_30d;3;5;0,6;500;410,2793067952376;-0,17944138640952484
17;18;;rf_pb_20N_30d;2;5;0,4;500;466,9185394590562;-0,0661629210818876
18;19;;rf_pb_20N_30d;0;5;0,0;500;542,6023783697623;0,08520475673952456
19;20;;rf_pb_20N_30d;1;5;0,2;500;454,3323564954621;-0,09133528700907584
20;21;;rf_pb_20N_30d;3;5;0,6;500;427,9402677918776;-0,1441194644162448
21;22;;rf_pb_20N_30d;0;5;0,0;500;525,582367546649;0,05116473509329808
22;23;;rf_pb_20N_30d;1;5;0,2;500;566,0202898954642;0,1320405797909284
23;24;;rf_pb_20N_30d;1;5;0,2;500;714,2032996163082;0,42840659923261637
24;25;;rf_pb_20N_30d;0;5;0,0;500;563,8923266946946;0,12778465338938919
25;26;;rf_pb_20N_30d;1;5;0,2;500;487,6989069803923;-0,024602186039215438
26;27;;rf_pb_20N_30d;3;5;0,6;500;426,12200516946206;-0,1477559896610759
27;28;;rf_pb_20N_30d;1;5;0,2;500;606,3136378301735;0,2126272756603471
28;29;;rf_pb_20N_30d;3;5;0,6;500;401,4196289003843;-0,19716074219923144
29;30;;rf_pb_20N_30d;2;5;0,4;500;496,384096379044;-0,007231807241911952
30;31;;rf_pb_20N_30d;2;5;0,4;500;500,6695229170734;0,0013390458341467593
31;32;;rf_pb_20N_30d;2;5;0,4;500;511,99284367711346;0,02398568735422691
32;33;;rf_pb_20N_30d;1;5;0,2;500;560,182312937577;0,12036462587515394
33;34;;rf_pb_20N_30d;1;5;0,2;500;498,1041008722694;-0,003791798255461231
34;35;;rf_pb_20N_30d;1;5;0,2;500;495,72009919999095;-0,008559801600018091
35;36;;rf_pb_20N_30d;1;5;0,2;500;466,1077876177427;-0,0677844247645146
36;37;;rf_pb_20N_30d;1;5;0,2;500;528,7090632280191;0,05741812645603818
37;38;;rf_pb_20N_30d;3;5;0,6;500;663,7840682093401;0,3275681364186803
38;39;;rf_pb_20N_30d;1;5;0,2;500;500,6108918596658;0,0012217837193315973
39;40;;rf_pb_20N_30d;1;5;0,2;500;508,96559330212267;0,01793118660424534
40;41;;rf_pb_20N_30d;2;5;0,4;500;460,7967481000006;-0,07840650379999875
41;42;;rf_pb_20N_30d;0;5;0,0;500;461,9376579612446;-0,07612468407751077
42;43;;rf_pb_20N_30d;1;5;0,2;500;478,4918355950263;-0,043016328809947366
43;44;;rf_pb_20N_30d;1;5;0,2;500;449,9826281183009;-0,10003474376339819
44;45;;rf_pb_20N_30d;2;5;0,4;500;456,06000447681924;-0,08787999104636152
45;46;;rf_pb_20N_30d;2;5;0,4;500;573,7928806757914;0,14758576135158274
46;47;;rf_pb_20N_30d;0;5;0,0;500;575,5039016212489;0,15100780324249785
47;48;;rf_pb_20N_30d;3;5;0,6;500;379,13708976410726;-0,24172582047178548
48;49;;rf_pb_20N_30d;1;5;0,2;500;508,40478137827944;0,016809562756558875
49;50;;rf_pb_20N_30d;1;5;0,2;500;610,3794346307906;0,22075886926158114
50;1;;Xv_pb_15N_30d;4;5;0,8;500;388,52656672663505;-0,2229468665467299
51;2;;Xv_pb_15N_30d;0;5;0,0;500;506,5970316715836;0,013194063343167159
52;3;;Xv_pb_15N_30d;4;5;0,8;500;370,2038509410553;-0,2595922981178894
53;4;;Xv_pb_15N_30d;2;5;0,4;500;430,854143020467;-0,13829171395906598
54;5;;Xv_pb_15N_30d;2;5;0,4;500;490,8266155722053;-0,018346768855589404
55;6;;Xv_pb_15N_30d;2;5;0,4;500;714,047926412318;0,428095852824636
56;7;;Xv_pb_15N_30d;2;5;0,4;500;430,8793971032414;-0,13824120579351723
57;8;;Xv_pb_15N_30d;2;5;0,4;500;431,8647704449438;-0,13627045911011237
58;9;;Xv_pb_15N_30d;2;5;0,4;500;447,984711414923;-0,10403057717015395
59;10;;Xv_pb_15N_30d;2;5;0,4;500;454,49300534391034;-0,09101398931217931
60;11;;Xv_pb_15N_30d;1;5;0,2;500;539,1362123986756;0,07827242479735128
61;12;;Xv_pb_15N_30d;1;5;0,2;500;498,673249739007;-0,0026535005219859614
62;13;;Xv_pb_15N_30d;2;5;0,4;500;434,45520333591736;-0,13108959332816528
63;14;;Xv_pb_15N_30d;0;5;0,0;500;598,1391512563334;0,19627830251266687
64;15;;Xv_pb_15N_30d;1;5;0,2;500;634,3466415170137;0,26869328303402745
65;16;;Xv_pb_15N_30d;2;5;0,4;500;529,7301580209789;0,05946031604195787
